system,protocol,fold,k,alpha,MAE_data,MAE_users,RMSE,RMSE_users,CR
FUS,A_warm,6,2,0.0,0.8372,0.832,1.0962,1.045,0.7915
FUS,A_warm,6,4,0.0,0.8051,0.7977,1.046,0.9975,0.9117
FUS,A_warm,6,6,0.0,0.7923,0.7838,1.0267,0.9784,0.9504
FUS,A_warm,6,8,0.0,0.7829,0.7759,1.0133,0.9663,0.9688
FUS,A_warm,6,10,0.0,0.7706,0.7661,0.9952,0.9513,0.9773
FUS,A_warm,6,15,0.0,0.756,0.7538,0.9731,0.9333,0.9903
FUS,A_warm,6,20,0.0,0.7475,0.7447,0.9626,0.9217,0.9946
FUS,A_warm,6,30,0.0,0.7378,0.7355,0.9477,0.9088,0.9981
FUS,A_warm,6,50,0.0,0.7339,0.7313,0.9391,0.9013,1.0
FUS,A_warm,6,1,0.7,0.8708,0.8626,1.1542,1.0767,0.5829
FUS,A_warm,6,2,0.7,0.8465,0.8365,1.11,1.0485,0.7717
FUS,A_warm,6,4,0.7,0.812,0.8078,1.0579,1.0113,0.896
FUS,A_warm,6,6,0.7,0.8001,0.7975,1.0374,0.9937,0.9389
FUS,A_warm,6,8,0.7,0.7911,0.7888,1.0209,0.9787,0.9617
FUS,A_warm,6,10,0.7,0.7826,0.7802,1.0093,0.9672,0.9729
FUS,A_warm,6,15,0.7,0.7651,0.7639,0.9843,0.9449,0.9862
FUS,A_warm,6,20,0.7,0.7553,0.7541,0.9711,0.932,0.9921
FUS,A_warm,6,30,0.7,0.7464,0.7452,0.9573,0.9187,0.9955
FUS,A_warm,6,50,0.7,0.74,0.7393,0.9479,0.9096,0.9979
FUS,A_warm,6,1,0.8,0.87,0.8659,1.148,1.0789,0.5814
FUS,A_warm,6,2,0.8,0.8556,0.8501,1.1152,1.0615,0.7658
FUS,A_warm,6,4,0.8,0.8227,0.8224,1.0687,1.0271,0.8942
FUS,A_warm,6,6,0.8,0.805,0.8038,1.0438,1.0005,0.9377
FUS,A_warm,6,8,0.8,0.791,0.7895,1.024,0.9814,0.9587
FUS,A_warm,6,10,0.8,0.7859,0.7846,1.0123,0.9706,0.97
FUS,A_warm,6,15,0.8,0.7702,0.7685,0.9914,0.9509,0.9839
FUS,A_warm,6,20,0.8,0.7629,0.7629,0.9817,0.9416,0.9909
FUS,A_warm,6,30,0.8,0.7525,0.7531,0.9664,0.9279,0.9942
FUS,A_warm,6,50,0.8,0.7469,0.7481,0.9566,0.9186,0.9969
FUS,A_warm,6,1,0.9,0.8717,0.8711,1.1488,1.0822,0.5746
FUS,A_warm,6,2,0.9,0.8528,0.8494,1.1091,1.0557,0.7561
FUS,A_warm,6,4,0.9,0.824,0.8218,1.0656,1.02,0.891
FUS,A_warm,6,6,0.9,0.8055,0.806,1.0421,1.003,0.9339
FUS,A_warm,6,8,0.9,0.7942,0.7953,1.0239,0.9867,0.9535
FUS,A_warm,6,10,0.9,0.7864,0.7873,1.0106,0.9714,0.9658
FUS,A_warm,6,15,0.9,0.7688,0.771,0.9895,0.9518,0.9806
FUS,A_warm,6,20,0.9,0.7614,0.7634,0.979,0.9427,0.9865
FUS,A_warm,6,30,0.9,0.7544,0.7568,0.9681,0.9314,0.9911
FUS,A_warm,6,50,0.9,0.7489,0.7526,0.9596,0.9236,0.9933
FUS,A_warm,7,1,0.0,0.8627,0.8759,1.1462,1.0912,0.599
FUS,A_warm,7,2,0.0,0.8448,0.844,1.1081,1.0593,0.7884
FUS,A_warm,7,4,0.0,0.8231,0.8237,1.0738,1.0347,0.914
FUS,A_warm,7,6,0.0,0.7996,0.7997,1.038,1.0017,0.952
FUS,A_warm,7,8,0.0,0.7866,0.7854,1.0177,0.9805,0.9707
FUS,A_warm,7,10,0.0,0.7794,0.7818,1.0068,0.9745,0.9806
FUS,A_warm,7,15,0.0,0.7662,0.7723,0.9889,0.9603,0.9926
FUS,A_warm,7,20,0.0,0.7612,0.7676,0.979,0.9514,0.9969
FUS,A_warm,7,30,0.0,0.7513,0.7584,0.9629,0.937,0.9989
FUS,A_warm,7,50,0.0,0.7431,0.7505,0.9515,0.9243,0.9997
FUS,A_warm,7,1,0.7,0.8637,0.8738,1.1465,1.0879,0.5771
FUS,A_warm,7,2,0.7,0.8466,0.8545,1.1086,1.0645,0.7788
FUS,A_warm,7,4,0.7,0.8326,0.8326,1.08,1.0391,0.8998
FUS,A_warm,7,6,0.7,0.8093,0.8121,1.0452,1.0119,0.9406
FUS,A_warm,7,8,0.7,0.7954,0.7971,1.0275,0.9947,0.9639
FUS,A_warm,7,10,0.7,0.7874,0.7883,1.0151,0.9821,0.9737
FUS,A_warm,7,15,0.7,0.7766,0.779,1.002,0.9705,0.9879
FUS,A_warm,7,20,0.7,0.768,0.7715,0.9885,0.9578,0.9917
FUS,A_warm,7,30,0.7,0.759,0.764,0.9739,0.9449,0.9955
FUS,A_warm,7,50,0.7,0.7521,0.7583,0.9626,0.9345,0.9967
FUS,A_warm,7,1,0.8,0.86,0.8762,1.1387,1.0866,0.5686
FUS,A_warm,7,2,0.8,0.853,0.8632,1.116,1.0752,0.7706
FUS,A_warm,7,4,0.8,0.8314,0.8361,1.0787,1.0423,0.8916
FUS,A_warm,7,6,0.8,0.8091,0.8113,1.0472,1.0105,0.9347
FUS,A_warm,7,8,0.8,0.7984,0.7992,1.0305,0.9953,0.9578
FUS,A_warm,7,10,0.8,0.795,0.7956,1.0251,0.99,0.9704
FUS,A_warm,7,15,0.8,0.7795,0.783,1.0047,0.9725,0.9854
FUS,A_warm,7,20,0.8,0.7712,0.7742,0.9934,0.9618,0.9908
FUS,A_warm,7,30,0.8,0.7628,0.768,0.9783,0.9484,0.9945
FUS,A_warm,7,50,0.8,0.7567,0.7626,0.967,0.9379,0.9962
FUS,A_warm,7,1,0.9,0.867,0.877,1.1395,1.0816,0.5718
FUS,A_warm,7,2,0.9,0.8577,0.8693,1.1164,1.08,0.7647
FUS,A_warm,7,4,0.9,0.8284,0.8353,1.0739,1.0412,0.8956
FUS,A_warm,7,6,0.9,0.8088,0.8144,1.0474,1.0152,0.9372
FUS,A_warm,7,8,0.9,0.8,0.8068,1.0335,1.0043,0.9582
FUS,A_warm,7,10,0.9,0.7891,0.7951,1.0196,0.993,0.968
FUS,A_warm,7,15,0.9,0.7776,0.783,1.003,0.9745,0.9809
FUS,A_warm,7,20,0.9,0.7721,0.7787,0.9942,0.9661,0.9859
FUS,A_warm,7,30,0.9,0.762,0.769,0.978,0.9497,0.9897
FUS,A_warm,7,50,0.9,0.7596,0.7656,0.9712,0.9414,0.9922
FUS,A_warm,8,1,0.0,0.8483,0.8551,1.1252,1.0648,0.6037
FUS,A_warm,8,2,0.0,0.8321,0.8387,1.0957,1.0551,0.7935
FUS,A_warm,8,4,0.0,0.8013,0.8057,1.0455,1.0076,0.9117
FUS,A_warm,8,6,0.0,0.7846,0.7868,1.0206,0.9834,0.9523
FUS,A_warm,8,8,0.0,0.7736,0.7767,1.0022,0.9674,0.9721
FUS,A_warm,8,10,0.0,0.7616,0.7651,0.9851,0.9508,0.9807
FUS,A_warm,8,15,0.0,0.7447,0.7483,0.9621,0.9268,0.9916
FUS,A_warm,8,20,0.0,0.7371,0.7388,0.9519,0.9143,0.9963
FUS,A_warm,8,30,0.0,0.7292,0.7326,0.9417,0.9053,0.9989
FUS,A_warm,8,50,0.0,0.7224,0.7241,0.9313,0.8932,0.9999
FUS,A_warm,8,1,0.7,0.8599,0.8684,1.139,1.0796,0.5745
FUS,A_warm,8,2,0.7,0.8318,0.8379,1.0928,1.0523,0.7699
